case_id,Variant,Customer_ID,Revenue,Costs,Pizza Type,Pizza Size,Customer Satisfaction,Distribution Channel,Customer Location,Customer Type,SORTING,timestamp,activity,Automation
1,4,17,10,47,Salami,Small,2,Deliver Now Holding,Munich District One,Teenager,1,15.06.18 09:37,Order by phone,A
1,4,17,10,47,Salami,Small,2,Deliver Now Holding,Munich District One,Teenager,2,15.06.18 09:40,Start preparing pizza,A
1,4,17,10,47,Salami,Small,2,Deliver Now Holding,Munich District One,Teenager,3,15.06.18 09:45,Call Customer,A
1,4,17,10,47,Salami,Small,2,Deliver Now Holding,Munich District One,Teenager,4,15.06.18 09:46,Start preparing pizza,A
1,4,17,10,47,Salami,Small,2,Deliver Now Holding,Munich District One,Teenager,5,15.06.18 09:53,Start baking pizza,B
1,4,17,10,47,Salami,Small,2,Deliver Now Holding,Munich District One,Teenager,6,15.06.18 09:54,Baking pizza ready,A
1,4,17,10,47,Salami,Small,2,Deliver Now Holding,Munich District One,Teenager,7,15.06.18 09:55,Plan route,B
1,4,17,10,47,Salami,Small,2,Deliver Now Holding,Munich District One,Teenager,8,15.06.18 09:56,Departure pizza,A
1,4,17,10,47,Salami,Small,2,Deliver Now Holding,Munich District One,Teenager,9,15.06.18 10:02,Pizza arrives at customer,B
1,4,17,10,47,Salami,Small,2,Deliver Now Holding,Munich District One,Teenager,10,15.06.18 10:06,Payment customer,A
185,1,123,36,56,Calzone,Large,1,Deliveruu Inc.,Munich District One,Adult,1554,29.01.18 19:12,Order by phone,A
185,1,123,36,56,Calzone,Large,1,Deliveruu Inc.,Munich District One,Adult,1555,29.01.18 19:14,Start preparing pizza,A
185,1,123,36,56,Calzone,Large,1,Deliveruu Inc.,Munich District One,Adult,1556,29.01.18 19:15,Start baking pizza,A
185,1,123,36,56,Calzone,Large,1,Deliveruu Inc.,Munich District One,Adult,1557,29.01.18 19:25,Baking pizza ready,A
185,1,123,36,56,Calzone,Large,1,Deliveruu Inc.,Munich District One,Adult,1558,29.01.18 19:28,Plan route,A
185,1,123,36,56,Calzone,Large,1,Deliveruu Inc.,Munich District One,Adult,1559,29.01.18 19:30,Departure pizza,A
185,1,123,36,56,Calzone,Large,1,Deliveruu Inc.,Munich District One,Adult,1560,29.01.18 19:33,Pizza arrives at customer,B
185,1,123,36,56,Calzone,Large,1,Deliveruu Inc.,Munich District One,Adult,1561,29.01.18 20:03,Payment customer,B
2,1,78,11,7,Magherita,Large,4,BestOrder Inc.,Munich District One,Student,11,27.05.18 04:22,Order by phone,A
2,1,78,11,7,Magherita,Large,4,BestOrder Inc.,Munich District One,Student,12,27.05.18 04:25,Start preparing pizza,A
2,1,78,11,7,Magherita,Large,4,BestOrder Inc.,Munich District One,Student,13,27.05.18 04:27,Start baking pizza,B
2,1,78,11,7,Magherita,Large,4,BestOrder Inc.,Munich District One,Student,14,27.05.18 04:29,Baking pizza ready,A
2,1,78,11,7,Magherita,Large,4,BestOrder Inc.,Munich District One,Student,15,27.05.18 04:30,Departure pizza,A
2,1,78,11,7,Magherita,Large,4,BestOrder Inc.,Munich District One,Student,16,27.05.18 04:30,Plan route,A
2,1,78,11,7,Magherita,Large,4,BestOrder Inc.,Munich District One,Student,17,27.05.18 04:39,Pizza arrives at customer,A
2,1,78,11,7,Magherita,Large,4,BestOrder Inc.,Munich District One,Student,18,27.05.18 04:40,Payment customer,A
3,6,128,36,7,Salami,Medium,2,TownExpress Inc. ,Munich District Four,Student,19,03.05.18 18:24,Start order website,A
3,6,128,36,7,Salami,Medium,2,TownExpress Inc. ,Munich District Four,Student,20,03.05.18 18:34,Approve order website,A
3,6,128,36,7,Salami,Medium,2,TownExpress Inc. ,Munich District Four,Student,21,03.05.18 18:35,Receive order website,A
3,6,128,36,7,Salami,Medium,2,TownExpress Inc. ,Munich District Four,Student,22,03.05.18 18:43,Call Customer,A
3,6,128,36,7,Salami,Medium,2,TownExpress Inc. ,Munich District Four,Student,23,03.05.18 18:49,Start preparing pizza,A
3,6,128,36,7,Salami,Medium,2,TownExpress Inc. ,Munich District Four,Student,24,03.05.18 18:50,Start baking pizza,A
3,6,128,36,7,Salami,Medium,2,TownExpress Inc. ,Munich District Four,Student,25,03.05.18 18:51,Baking pizza ready,B
3,6,128,36,7,Salami,Medium,2,TownExpress Inc. ,Munich District Four,Student,26,03.05.18 18:54,Plan route,B
3,6,128,36,7,Salami,Medium,2,TownExpress Inc. ,Munich District Four,Student,27,03.05.18 18:54,Departure pizza,A
3,6,128,36,7,Salami,Medium,2,TownExpress Inc. ,Munich District Four,Student,28,03.05.18 18:56,Pizza arrives at customer,B
3,6,128,36,7,Salami,Medium,2,TownExpress Inc. ,Munich District Four,Student,29,03.05.18 19:02,Payment customer,B
197,1,230,28,7,Magherita,Small,0,Deliver Now Holding,Munich District Three,Student,1652,13.03.18 07:33,Order by phone,A
197,1,230,28,7,Magherita,Small,0,Deliver Now Holding,Munich District Three,Student,1653,13.03.18 07:33,Start preparing pizza,A
197,1,230,28,7,Magherita,Small,0,Deliver Now Holding,Munich District Three,Student,1654,13.03.18 07:36,Start baking pizza,A
197,1,230,28,7,Magherita,Small,0,Deliver Now Holding,Munich District Three,Student,1655,13.03.18 07:38,Baking pizza ready,A
197,1,230,28,7,Magherita,Small,0,Deliver Now Holding,Munich District Three,Student,1656,13.03.18 07:41,Plan route,A
197,1,230,28,7,Magherita,Small,0,Deliver Now Holding,Munich District Three,Student,1657,13.03.18 07:44,Departure pizza,A
197,1,230,28,7,Magherita,Small,0,Deliver Now Holding,Munich District Three,Student,1658,13.03.18 07:53,Pizza arrives at customer,A
197,1,230,28,7,Magherita,Small,0,Deliver Now Holding,Munich District Three,Student,1659,13.03.18 08:30,Payment customer,A
183,1,226,10,7,Magherita,Small,0,Feedera SE,Munich District Three,Adult,1535,16.02.18 07:21,Order by phone,A
183,1,226,10,7,Magherita,Small,0,Feedera SE,Munich District Three,Adult,1536,16.02.18 07:21,Start preparing pizza,A
183,1,226,10,7,Magherita,Small,0,Feedera SE,Munich District Three,Adult,1537,16.02.18 07:26,Start baking pizza,B
183,1,226,10,7,Magherita,Small,0,Feedera SE,Munich District Three,Adult,1538,16.02.18 07:27,Baking pizza ready,A
183,1,226,10,7,Magherita,Small,0,Feedera SE,Munich District Three,Adult,1539,16.02.18 07:31,Plan route,A
183,1,226,10,7,Magherita,Small,0,Feedera SE,Munich District Three,Adult,1540,16.02.18 07:31,Departure pizza,A
183,1,226,10,7,Magherita,Small,0,Feedera SE,Munich District Three,Adult,1541,16.02.18 07:39,Pizza arrives at customer,B
183,1,226,10,7,Magherita,Small,0,Feedera SE,Munich District Three,Adult,1542,16.02.18 08:02,Payment customer,B
4,2,242,5,8,Calzone,Small,4,BestOrder Inc.,Munich District One,Student,30,12.02.18 22:52,Order at the counter (shop),A
4,2,242,5,8,Calzone,Small,4,BestOrder Inc.,Munich District One,Student,31,12.02.18 22:53,Start preparing pizza,A
4,2,242,5,8,Calzone,Small,4,BestOrder Inc.,Munich District One,Student,32,12.02.18 22:54,Start baking pizza,A
4,2,242,5,8,Calzone,Small,4,BestOrder Inc.,Munich District One,Student,33,12.02.18 23:02,Baking pizza ready,B
5,2,242,5,8,Calzone,Small,4,BestOrder Inc.,Munich District One,Student,34,12.02.18 23:03,Payment customer,B
5,6,63,8,11,Salami,Small,3,BestOrder Inc.,Munich District One,Student,35,06.02.18 23:08,Start order website,A
5,6,63,8,11,Salami,Small,3,BestOrder Inc.,Munich District One,Student,36,06.02.18 23:16,Approve order website,A
5,6,63,8,11,Salami,Small,3,BestOrder Inc.,Munich District One,Student,37,06.02.18 23:16,Call Customer,B
5,6,63,8,11,Salami,Small,3,BestOrder Inc.,Munich District One,Student,38,06.02.18 23:16,Receive order website,A
5,6,63,8,11,Salami,Small,3,BestOrder Inc.,Munich District One,Student,39,06.02.18 23:17,Start preparing pizza,A
5,6,63,8,11,Salami,Small,3,BestOrder Inc.,Munich District One,Student,40,06.02.18 23:24,Start baking pizza,A
5,6,63,8,11,Salami,Small,3,BestOrder Inc.,Munich District One,Student,41,06.02.18 23:25,Baking pizza ready,B
5,6,63,8,11,Salami,Small,3,BestOrder Inc.,Munich District One,Student,42,06.02.18 23:26,Plan route,A
