case_id,Variant,Customer_ID,Revenue,Costs,Pizza Type,Pizza Size,Customer Satisfaction,Distribution Channel,Customer Location,Customer Type,SORTING,timestamp,activity,Automation
1,4,17,10,47,Salami,Small,2,Deliver Now Holding,Munich District One,Teenager,,,Order by phone,A
1,4,17,10,47,Salami,Small,2,Deliver Now Holding,Munich District One,Teenager,,,Start preparing pizza,A
1,4,17,10,47,Salami,Small,2,Deliver Now Holding,Munich District One,Teenager,,,Call Customer,A
1,4,17,10,47,Salami,Small,2,Deliver Now Holding,Munich District One,Teenager,,,Start preparing pizza,A
1,4,17,10,47,Salami,Small,2,Deliver Now Holding,Munich District One,Teenager,,,Start baking pizza,B
1,4,17,10,47,Salami,Small,2,Deliver Now Holding,Munich District One,Teenager,,,Baking pizza ready,A
1,4,17,10,47,Salami,Small,2,Deliver Now Holding,Munich District One,Teenager,,,Departure pizza,A
1,4,17,10,47,Salami,Small,2,Deliver Now Holding,Munich District One,Teenager,,,Plan route,B
1,4,17,10,47,Salami,Small,2,Deliver Now Holding,Munich District One,Teenager,,,Pizza arrives at customer,B
1,4,17,10,47,Salami,Small,2,Deliver Now Holding,Munich District One,Teenager,,,Payment customer,A
185,1,123,36,56,Calzone,Large,1,Deliveruu Inc.,Munich District One,Adult,,,Order by phone,A
185,1,123,36,56,Calzone,Large,1,Deliveruu Inc.,Munich District One,Adult,,,Start preparing pizza,A
185,1,123,36,56,Calzone,Large,1,Deliveruu Inc.,Munich District One,Adult,,,Start baking pizza,A
185,1,123,36,56,Calzone,Large,1,Deliveruu Inc.,Munich District One,Adult,,,Baking pizza ready,A
185,1,123,36,56,Calzone,Large,1,Deliveruu Inc.,Munich District One,Adult,,,Plan route,A
185,1,123,36,56,Calzone,Large,1,Deliveruu Inc.,Munich District One,Adult,,,Departure pizza,A
185,1,123,36,56,Calzone,Large,1,Deliveruu Inc.,Munich District One,Adult,,,Pizza arrives at customer,B
185,1,123,36,56,Calzone,Large,1,Deliveruu Inc.,Munich District One,Adult,,,Payment customer,B
2,1,78,11,7,Magherita,Large,4,BestOrder Inc.,Munich District One,Student,,,Order by phone,A
2,1,78,11,7,Magherita,Large,4,BestOrder Inc.,Munich District One,Student,,,Start preparing pizza,A
2,1,78,11,7,Magherita,Large,4,BestOrder Inc.,Munich District One,Student,,,Start baking pizza,B
2,1,78,11,7,Magherita,Large,4,BestOrder Inc.,Munich District One,Student,,,Baking pizza ready,A
2,1,78,11,7,Magherita,Large,4,BestOrder Inc.,Munich District One,Student,,,Departure pizza,A
2,1,78,11,7,Magherita,Large,4,BestOrder Inc.,Munich District One,Student,,,Plan route,A
2,1,78,11,7,Magherita,Large,4,BestOrder Inc.,Munich District One,Student,,,Pizza arrives at customer,A
2,1,78,11,7,Magherita,Large,4,BestOrder Inc.,Munich District One,Student,,,Payment customer,A
3,6,128,36,7,Salami,Medium,2,TownExpress Inc. ,Munich District Four,Student,,,Start order website,A
3,6,128,36,7,Salami,Medium,2,TownExpress Inc. ,Munich District Four,Student,,,Approve order website,A
3,6,128,36,7,Salami,Medium,2,TownExpress Inc. ,Munich District Four,Student,,,Receive order website,A
3,6,128,36,7,Salami,Medium,2,TownExpress Inc. ,Munich District Four,Student,,,Call Customer,A
3,6,128,36,7,Salami,Medium,2,TownExpress Inc. ,Munich District Four,Student,,,Start preparing pizza,A
3,6,128,36,7,Salami,Medium,2,TownExpress Inc. ,Munich District Four,Student,,,Start baking pizza,A
3,6,128,36,7,Salami,Medium,2,TownExpress Inc. ,Munich District Four,Student,,,Baking pizza ready,B
3,6,128,36,7,Salami,Medium,2,TownExpress Inc. ,Munich District Four,Student,,,Plan route,B
3,6,128,36,7,Salami,Medium,2,TownExpress Inc. ,Munich District Four,Student,,,Departure pizza,A
3,6,128,36,7,Salami,Medium,2,TownExpress Inc. ,Munich District Four,Student,,,Pizza arrives at customer,B
3,6,128,36,7,Salami,Medium,2,TownExpress Inc. ,Munich District Four,Student,,,Payment customer,B
197,1,230,28,7,Magherita,Small,0,Deliver Now Holding,Munich District Three,Student,,,Order by phone,A
197,1,230,28,7,Magherita,Small,0,Deliver Now Holding,Munich District Three,Student,,,Start preparing pizza,A
197,1,230,28,7,Magherita,Small,0,Deliver Now Holding,Munich District Three,Student,,,Start baking pizza,A
197,1,230,28,7,Magherita,Small,0,Deliver Now Holding,Munich District Three,Student,,,Baking pizza ready,A
197,1,230,28,7,Magherita,Small,0,Deliver Now Holding,Munich District Three,Student,,,Plan route,A
197,1,230,28,7,Magherita,Small,0,Deliver Now Holding,Munich District Three,Student,,,Departure pizza,A
197,1,230,28,7,Magherita,Small,0,Deliver Now Holding,Munich District Three,Student,,,Pizza arrives at customer,A
197,1,230,28,7,Magherita,Small,0,Deliver Now Holding,Munich District Three,Student,,,Payment customer,A
183,1,226,10,7,Magherita,Small,0,Feedera SE,Munich District Three,Adult,,,Order by phone,A
183,1,226,10,7,Magherita,Small,0,Feedera SE,Munich District Three,Adult,,,Start preparing pizza,A
183,1,226,10,7,Magherita,Small,0,Feedera SE,Munich District Three,Adult,,,Start baking pizza,B
183,1,226,10,7,Magherita,Small,0,Feedera SE,Munich District Three,Adult,,,Baking pizza ready,A
183,1,226,10,7,Magherita,Small,0,Feedera SE,Munich District Three,Adult,,,Plan route,A
183,1,226,10,7,Magherita,Small,0,Feedera SE,Munich District Three,Adult,,,Departure pizza,A
183,1,226,10,7,Magherita,Small,0,Feedera SE,Munich District Three,Adult,,,Pizza arrives at customer,B
183,1,226,10,7,Magherita,Small,0,Feedera SE,Munich District Three,Adult,,,Payment customer,B
4,2,242,5,8,Calzone,Small,4,BestOrder Inc.,Munich District One,Student,,,Order at the counter (shop),A
4,2,242,5,8,Calzone,Small,4,BestOrder Inc.,Munich District One,Student,,,Start preparing pizza,A
4,2,242,5,8,Calzone,Small,4,BestOrder Inc.,Munich District One,Student,,,Start baking pizza,A
4,2,242,5,8,Calzone,Small,4,BestOrder Inc.,Munich District One,Student,,,Baking pizza ready,B
4,2,242,5,8,Calzone,Small,4,BestOrder Inc.,Munich District One,Student,,,Payment customer,B
5,6,63,8,11,Salami,Small,3,BestOrder Inc.,Munich District One,Student,,,Start order website,A
5,6,63,8,11,Salami,Small,3,BestOrder Inc.,Munich District One,Student,,,Approve order website,A
5,6,63,8,11,Salami,Small,3,BestOrder Inc.,Munich District One,Student,,,Call Customer,B
5,6,63,8,11,Salami,Small,3,BestOrder Inc.,Munich District One,Student,,,Receive order website,A
5,6,63,8,11,Salami,Small,3,BestOrder Inc.,Munich District One,Student,,,Start preparing pizza,A
5,6,63,8,11,Salami,Small,3,BestOrder Inc.,Munich District One,Student,,,Start baking pizza,A
